1543065832282:sum "33 2"
1543527549996:sum "33 4"
1543582012420:square " 3"
1543582033759:square "3"
1543582054569:square "-9"
1543582061674:square "1.1"
1543582538377:squareroot "25"
1543582549430:squareRoot "25"
1543582608868:SquareRoot "25"
1543582624990:square "4"
1543582641232:squareRoot "22"
1543582663247:squareroot "33"
1543582734206:squareroot "22"
1543582749207:squareRoot "25"
1543582754756:squareroot "25"
1543584642274:reverse "3"
1543584712711:sum "2 3"
1543584720220:sum "22 33"
1543593453280:reverse "44"
1543593474654:sum "33 33"
1543593482141:sum "-22 -22"
1543593543824:reverse "-33"
